Contents,,,,,,,
TABLE C7,,,,,,,
"MEDIAN GROSS MONTHLY INCOME FROM EMPLOYMENT (INCLUDING EMPLOYER/PLATFORM OPERATOR CPF CONTRIBUTIONS) OF FULL-TIME EMPLOYED RESIDENTS AGED FIFTEEN YEARS AND OVER BY HIGHEST QUALIFICATION ATTAINED, AGE AND SEX, 2025",,,,,,,
(Exclude Full-Time National Servicemen),,,,,,,
 ,,,,,,,
Dollars,,,,,,,
,,Total,Below Secondary,Secondary,"Post-Secondary
(Non-Tertiary)","Diploma &
Professional
Qualification",Degree
Total,Total,"5,775","2,616","3,606","3,574","5,070","9,038"
,15 - 19,"1,872",s,"1,872",s,s,s
,20 - 24,"3,276",s,"2,568","2,567","3,385","4,680"
,25 - 29,"5,000","3,042","3,313","3,393","3,904","5,852"
,30 - 34,"6,338","3,413","3,800","3,803","4,680","7,583"
,35 - 39,"7,253","3,360","3,835","4,056","5,460","9,258"
,40 - 44,"7,800","3,239","4,028","4,095","6,000","10,545"
,45 - 49,"7,605","3,291","4,212","4,095","6,279","11,360"
,50 - 54,"6,825","3,276","4,000","4,095","6,338","11,750"
,55 - 59,"5,005","2,924","3,783","3,803","5,775","11,112"
,60 & Over,"3,222","2,330","3,248","3,193","5,000","9,416"
,,,,,,,
,Below 30,"4,417","2,788","2,575","2,925","3,712","5,803"
,30 - 39,"6,718","3,364","3,803","4,000","5,070","8,239"
,40 - 49,"7,731","3,276","4,095","4,095","6,093","10,874"
,50 - 59,"5,937","3,078","3,869","3,958","6,084","11,445"
,55 - 64,"4,380","2,772","3,754","3,640","5,600","10,833"
Male,Total,"6,000","2,790","3,744","3,774","5,324","10,115"
,15 - 19,"1,872",s,s,s,s,s
,20 - 24,"3,000",s,"2,457","2,662","3,343",s
,25 - 29,"4,680",s,"3,168","3,405","3,861","6,093"
,30 - 34,"6,338","3,358","3,803","4,040","4,681","8,081"
,35 - 39,"7,859","3,488","3,978","4,095","5,830","10,257"
,40 - 44,"8,580","3,319","4,212","4,183","6,718","11,638"
,45 - 49,"8,532","3,841","4,437","4,212","6,552","12,528"
,50 - 54,"7,508","3,350","4,095","4,309","6,689","12,782"
,55 - 59,"5,544","3,128","4,043","4,004","6,353","11,818"
,60 & Over,"3,358","2,427","3,270","3,315","5,000","10,000"
,,,,,,,
,Below 30,"4,157","2,535","2,574","3,110","3,744","6,084"
,30 - 39,"7,009","3,413","3,803","4,069","5,070","9,166"
,40 - 49,"8,549","3,549","4,329","4,212","6,581","12,133"
,50 - 59,"6,528","3,276","4,056","4,072","6,507","12,258"
,55 - 64,"4,716","3,000","3,920","3,754","6,006","11,388"
Female,Total,"5,460","2,507","3,510","3,423","5,000","8,000"
,15 - 19,"1,919",s,"1,843",s,s,s
,20 - 24,"3,452",s,"2,867","2,408","3,393","4,680"
,25 - 29,"5,070",s,"3,358","3,393","3,978","5,850"
,30 - 34,"6,235",s,"3,510","3,510","4,680","7,020"
,35 - 39,"6,825","3,358","3,803","4,054","5,324","8,424"
,40 - 44,"7,020","2,966","3,705","3,949","5,463","9,637"
,45 - 49,"6,928","3,042","3,814","3,861","5,850","10,058"
,50 - 54,"6,084","3,198","3,822","3,818","5,850","10,195"
,55 - 59,"4,547","2,692","3,507","3,731","5,216","9,917"
,60 & Over,"2,940","2,185","3,135","2,907","5,000","7,876"
,,,,,,,
,Below 30,"4,453",s,"2,679","2,808","3,676","5,616"
,30 - 39,"6,411","3,364","3,752","3,803","5,031","7,605"
,40 - 49,"7,020","3,033","3,803","3,916","5,704","9,950"
,50 - 59,"5,265","2,935","3,744","3,754","5,704","10,038"
,55 - 64,"4,000","2,531","3,507","3,465","5,216","9,258"
,,,,,,,
"Source: Comprehensive Labour Force Survey, Manpower Research & Statistics Department, MOM",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
