Data Series,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1995,1990
Resident Households,1463400,1425100,1399600,1390600,1372600,1372400,1325300,1289900,1263600,1225300,1200000,1174500,1152000,1146200,1145900,1119600,1093100,1074800,1054100,1024500,1003800,989000,964600,934400,915100,768400,661700
  Married Couple-Based With Children,681900,662000,638700,643600,655000,643200,663100,664200,663000,665700,659800,666500,658100,648000,642100,644100,634800,621800,611800,604100,598300,588300,591000,582900,569500,518800,439800
  Married Couple-Based Without Children,253900,255500,248500,247000,228400,261500,229300,219800,209900,188100,189300,170600,173200,177600,157200,161000,160400,152100,150500,135800,138800,138700,128500,119000,109800,68400,55300
  Lone Parent,74000,83000,82400,85300,89800,91100,96100,90500,92800,94000,87400,88200,82700,80700,83200,79500,74900,75300,79000,70100,69600,63600,70000,70900,66300,61800,57100
  Living Alone,236200,222700,217300,217400,220300,208000,185400,167900,156200,146000,134800,124400,109500,114000,139900,115700,109700,116400,112500,103300,96300,94800,82700,73200,75400,38100,34600
  Others,217500,201900,212600,197400,179100,168600,151500,147600,141700,131600,128700,124800,128600,126000,123600,119300,113300,109100,100200,111200,100800,103500,92400,88300,94100,81200,75000
Household Reference Persons Aged Below 35 Years,134800,140200,145200,133600,130400,123300,113500,113700,109500,99000,97500,100200,101500,109700,130400,121300,121600,127900,122500,138300,131300,136200,130600,140300,140000,122900,150200
  Married Couple-Based With Children,42200,44000,45800,43600,42800,43700,43800,48500,46300,44300,42600,44600,39800,42300,47300,47300,46700,52100,48700,54800,54400,55200,58100,65500,66800,70500,84400
  Married Couple-Based Without Children,31800,34900,31700,33100,33100,36300,34500,30400,34300,28000,28300,27300,31200,35700,35500,34300,39200,38000,36900,42000,41000,43700,39800,40300,40900,26600,29200
  Lone Parent,2200,2700,3500,3100,3100,2900,2700,2900,2400,2900,2500,2100,2600,2200,2700,2700,3200,2900,3100,3100,2300,2400,2600,3800,2700,2800,3200
  Living Alone,23600,21900,23800,21600,25000,15900,14100,12300,10500,9200,8000,9300,7200,9100,24900,15800,12700,13600,15000,15700,12300,12100,10200,10600,10800,6000,10800
  Others,35100,36600,40400,32300,26300,24500,18400,19600,16000,14500,16000,16900,20600,20400,20100,21300,19700,21300,18900,22500,21300,22900,19900,20100,18800,17000,22600
Household Reference Persons Aged 35-49 Years,433100,434100,434200,450500,446500,452700,436300,437300,413900,424900,408000,425200,437800,439300,442400,449600,459700,453900,450900,451200,449600,451300,448400,444700,430000,366900,279700
  Married Couple-Based With Children,241700,241900,215000,249400,251600,257400,264700,270400,259000,269000,258600,280100,288000,280700,286100,298500,307900,302900,302400,304200,307600,309000,315900,315700,303200,280200,215400
