Data Series,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1980
Resident Households (Number),1487100,1463400,1425100,1399600,1390600,1372600,1372400,1325300,1289900,1263600,1225300,1200000,1174500,1152000,1146200,1145900,1119600,1093100,1074800,1054100,1024500,1003800,989000,964600,934400,915100,889100,848000,824700,804700,768400,751900,724600,708500,688100,661700,648100,621900,593700,577800,551500,521900,498900,472700
  1-Person Households (Number),247900,236200,222700,217300,217400,220300,208000,185400,167900,156200,146000,134800,124400,109500,114000,139900,115700,109700,116400,112500,103300,96300,94800,82700,73200,75400,67000,54900,51700,44900,38100,35900,33800,32400,29600,34600,23200,20400,17700,19400,16500,17600,19300,27100
  2-Person Households (Number),354200,343700,344200,331300,331200,309800,334400,306300,289200,276100,259200,252200,234100,230900,227900,215000,219400,214300,204600,207600,191200,193000,190500,181400,173700,157200,153000,134600,131000,118000,106800,102500,91900,92400,87300,80500,78800,73400,69100,66600,57500,50300,45700,45400
  3-Person Households (Number),335800,335000,315500,329300,297500,280500,286400,276900,277000,266200,256200,251500,243700,238300,237100,231400,234300,227200,223300,217500,206000,206800,201300,205700,188300,175100,182600,169100,161000,150900,140400,136000,127400,124400,120100,108100,113600,109400,99100,95100,85700,76400,71300,66800
  4-Person Households (Number),296600,294900,287100,287100,279100,275600,283500,284500,278100,286200,282200,280100,290900,281100,279600,263900,271300,268200,262900,258000,247300,250300,249600,242200,242200,233400,244600,240700,231800,232500,220900,211700,206100,196700,191500,165500,181100,169800,155700,148400,136700,119700,110900,92300
  5-Person Households (Number),161600,161800,156500,147500,160900,163500,155100,160700,161400,161200,164000,162900,165500,170500,169700,168000,164500,163700,166100,160300,163100,160200,155500,162700,163200,163700,152600,156100,157700,163400,153600,159100,154400,150300,146600,136100,141900,132000,125000,118400,116000,106900,96800,81300
  6-Person Households Or Larger (Number),91000,91900,99200,87100,104400,122900,104900,111600,116300,117600,117600,118400,116000,121800,117900,127800,114400,110200,101400,98200,113600,97200,97100,89900,93800,110200,89500,92600,91400,95000,108500,106700,111000,112400,113000,137000,109600,116900,127000,129900,139200,151100,154900,159900
Average Household Size Among Resident Households (Persons),3.06,3.09,3.11,3.09,3.15,3.22,3.16,3.24,3.3,3.35,3.39,3.43,3.47,3.53,3.51,3.5,3.49,3.5,3.48,3.46,3.56,3.52,3.52,3.55,3.61,3.7,3.64,3.75,3.77,3.86,3.96,3.98,4.05,4.06,4.09,4.25,4.15,4.22,4.34,4.37,4.52,4.7,4.79,4.87
  Total HDB Dwellings (Persons),2.98,3.01,3.04,3.02,3.09,3.13,3.07,3.18,3.25,3.3,3.34,3.37,3.42,3.48,3.46,3.45,3.45,3.45,3.44,3.43,3.51,3.46,3.47,3.51,3.57,3.66,3.61,3.72,3.75,3.83,3.94,3.96,4.03,4.04,4.09,4.24,4.15,4.23,4.32,4.34,4.48,4.66,4.73,4.82
